[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:37:46] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:37:47] [Server thread/INFO]: Starting minecraft server version 1.14.4
[00:37:47] [Server thread/INFO]: Loading properties
[00:37:47] [Server thread/INFO]: Default game type: SURVIVAL
[00:37:47] [Server thread/INFO]: Generating keypair
[00:37:47] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:37:47] [Server thread/INFO]: Using default channel type
[00:37:48] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[00:37:48] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[00:37:48] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[00:37:48] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[00:37:48] [Server thread/INFO]: Preparing level "world"
[00:38:30] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[00:38:31] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[00:38:31] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[00:38:32] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[00:38:32] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[00:38:33] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[00:38:33] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[00:38:34] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[00:38:34] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[00:38:35] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[00:38:35] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[00:38:36] [Server-Worker-1/INFO]: Preparing spawn area: 30%
[00:38:36] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[00:38:37] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[00:38:37] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[00:38:38] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[00:38:38] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[00:38:39] [Server-Worker-1/INFO]: Preparing spawn area: 35%
[00:38:39] [Server-Worker-1/INFO]: Preparing spawn area: 35%
[00:38:40] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[00:38:40] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[00:38:41] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[00:38:41] [Server-Worker-1/INFO]: Preparing spawn area: 45%
[00:38:42] [Server-Worker-1/INFO]: Preparing spawn area: 47%
[00:38:42] [Server-Worker-1/INFO]: Preparing spawn area: 50%
[00:38:43] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[00:38:43] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[00:38:44] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[00:38:44] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[00:38:45] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[00:38:45] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[00:38:46] [Server-Worker-1/INFO]: Preparing spawn area: 60%
[00:38:46] [Server-Worker-1/INFO]: Preparing spawn area: 67%
[00:38:47] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[00:38:47] [Server-Worker-1/INFO]: Preparing spawn area: 68%
[00:38:48] [Server-Worker-1/INFO]: Preparing spawn area: 71%
[00:38:48] [Server-Worker-1/INFO]: Preparing spawn area: 72%
[00:38:49] [Server-Worker-1/INFO]: Preparing spawn area: 76%
[00:38:51] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:51] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:51] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:51] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:51] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:52] [Server-Worker-1/INFO]: Preparing spawn area: 77%
[00:38:52] [Server-Worker-1/INFO]: Preparing spawn area: 82%
[00:38:53] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[00:38:53] [Server-Worker-1/INFO]: Preparing spawn area: 83%
[00:38:54] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[00:38:54] [Server-Worker-1/INFO]: Preparing spawn area: 87%
[00:38:55] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[00:38:55] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[00:38:56] [Server-Worker-1/INFO]: Preparing spawn area: 89%
[00:38:56] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[00:38:57] [Server-Worker-1/INFO]: Preparing spawn area: 96%
[00:38:57] [Server thread/INFO]: Time elapsed: 37270 ms
[00:38:57] [Server thread/INFO]: Done (69.212s)! For help, type "help"
